"outcome","model","n","r2","adjusted_r2","AIC","BIC"
"zRT","control",8401,0.419873529457448,0.419320501363509,-2572.57624769579,-2502.21518744214
"zRT","structure",8401,0.425718529790215,0.424485283970151,-2637.64889087073,-2496.92677036343
"zRT","main_effects",8401,0.426875693020624,0.425576401547935,-2652.59377957137,-2504.83555303871
"zRT","interaction",8401,0.427305709271406,0.425390343750574,-2640.89943161723,-2429.81625085629
"ERR","control",8401,0.197401449897398,0.196636341651352,48161.737570715,48232.0986309686
"ERR","structure",8401,0.20118327731836,0.1994678512854,48142.0586794673,48282.7807999746
"ERR","main_effects",8401,0.203240029035738,0.201433748228159,48122.400327579,48270.1585541117
"ERR","interaction",8401,0.203713679175054,0.201050514222462,48135.4046975611,48346.487878322
