"outcome","model","n","r2","adjusted_r2","delta_r2","delta_adjusted_r2","AIC","BIC","nested_df","nested_F","nested_p"
"zRT","baseline",8402,0.419891702995477,0.419338758115692,0,0,-2573.87041552497,-2503.50816500767,NA,NA,NA
"zRT","human_st",8402,0.421246254094897,0.420556522542156,0.00135455109942018,0.00121776442646415,-2589.51200028478,-2505.07729966403,2,9.81940795688807,5.50133387302406e-05
"zRT","qwen_st",8402,0.423208113431023,0.422520719930167,0.00331641043554642,0.00318196181447483,-2618.04148024053,-2533.60677961978,2,24.1230854773357,3.57668622175053e-11
"zRT","human_and_qwen_st",8402,0.423443419641408,0.422618687377216,0.00355171664593057,0.00327992926152421,-2617.46983318635,-2518.96268246214,4,12.9195260091299,1.73326494271513e-10
"ERR","baseline",8402,0.19743512654491,0.196670141558893,0,0,48166.7616643477,48237.123914865,NA,NA,NA
"ERR","human_st",8402,0.200805892638868,0.199853450608882,0.0033707660939585,0.00318330904998965,48135.3990175724,48219.8337181931,2,17.6953871618274,2.1436413719216e-08
"ERR","qwen_st",8402,0.201596989722298,0.200645490484689,0.00416186317738809,0.00397534892579621,48127.0780232931,48211.5127239138,2,21.8700289652715,3.36230240256966e-10
"ERR","human_and_qwen_st",8402,0.202527395209867,0.201386654804875,0.00509226866495746,0.0047165132459821,48121.2811848447,48219.7883355689,4,13.3920091968461,7.01391262508442e-11
